iter	RMSE
0	134.6723908
1	127.5596447
2	120.7478786
3	114.9769411
4	110.7963531
5	107.0415185
6	103.8484589
7	101.8967397
8	99.06138528
9	97.71632391
10	95.56917704
11	94.14797307
12	91.20727138
13	88.46824627
14	87.02913874
15	85.21356448
16	83.94775652
17	82.89484421
18	80.98141222
19	80.05655801
20	78.42646481
21	77.02531209
22	75.57682693
23	74.93938588
24	73.6386718
25	72.70786025
26	71.59394549
27	70.98853322
28	70.17395946
29	69.62102103
30	68.75549352
31	68.37310193
32	67.32891122
33	66.88929044
34	65.75142348
35	64.88962213
36	64.44129281
37	63.80879525
38	63.09799682
39	62.75415067
40	62.32236768
41	61.83565981
42	61.56926274
43	60.96885315
44	60.43904402
45	60.13998675
46	59.57381268
47	59.38025234
48	59.12647968
49	58.71299274
50	58.13651745
51	57.59570447
52	57.11441408
53	56.43211807
54	56.02550394
55	55.79407092
56	55.6391379
57	55.40724023
58	55.04856403
59	54.85031794
60	54.49853235
61	54.19257021
62	53.69381683
63	53.30962612
64	52.9503925
65	52.7074941
66	52.19060369
67	51.9402086
68	51.45394372
69	51.23840813
70	50.84145256
71	50.68315214
72	50.53678448
73	50.28072474
74	49.92664923
75	49.74980799
76	49.61401399
77	49.41491525
78	49.19598199
79	48.96937226
80	48.67091228
81	48.38719571
82	48.16948994
83	47.96987152
84	47.77662029
85	47.6870247
86	47.44618897
87	47.38811566
88	47.16501382
89	46.97929827
90	46.55690903
91	46.3958887
92	46.22224191
93	45.91024952
94	45.63571564
95	45.47384066
96	45.24740403
97	44.96698942
98	44.67949697
99	44.56353445
100	44.37788771
101	44.16895924
102	43.96539028
103	43.81119504
104	43.55814401
105	43.4231327
106	43.34091426
107	43.08479239
108	42.8100589
109	42.69981979
110	42.53065906
111	42.4633027
112	42.28193536
113	42.00992907
114	41.83632486
115	41.72424626
116	41.63648727
117	41.39577913
118	41.28621417
119	41.19075179
120	41.11385601
121	40.85083111
122	40.68814617
123	40.39099196
124	40.16618421
125	39.93008547
126	39.76595958
127	39.61611934
128	39.5319656
129	39.36967732
130	39.13333645
131	38.91139621
132	38.76138753
133	38.68491714
134	38.59162872
135	38.44359865
136	38.30408907
137	38.20510367
138	38.06016924
139	37.85588424
140	37.64632895
141	37.52537102
142	37.41066594
143	37.27819358
144	37.10888095
145	37.01546501
146	36.8302503
147	36.74127749
148	36.66754901
149	36.47865795
150	36.37300285
151	36.20369593
152	36.07829594
153	36.04232052
154	35.96986263
155	35.80278226
156	35.69280424
157	35.62066829
158	35.46200344
159	35.32851748
160	35.17432199
161	35.1089312
162	35.03960571
163	34.98786991
164	34.83842464
165	34.69935511
166	34.63472244
167	34.57536726
168	34.49394608
169	34.35480192
170	34.30797644
171	34.13638505
172	33.98901337
173	33.8625861
174	33.77510222
175	33.6461389
176	33.4942904
177	33.44043914
178	33.29782356
179	33.17180506
180	33.11264185
181	33.06795954
182	32.96049919
183	32.8139193
184	32.73946971
185	32.62570043
186	32.55349063
187	32.47608911
188	32.40052712
189	32.24501263
190	32.1415231
191	32.03449966
192	31.92279108
193	31.82021242
194	31.77275489
195	31.71730297
196	31.60577319
197	31.49590477
198	31.39606574
199	31.22969598
200	31.17096254
201	31.07599385
202	30.98136552
203	30.96090891
204	30.84730813
205	30.75029717
206	30.68088976
207	30.5436503
208	30.47881593
209	30.37296519
210	30.29867944
211	30.1939251
212	30.03344083
213	29.96315267
214	29.90469382
215	29.84944073
216	29.80868345
217	29.69317179
218	29.61517029
219	29.56377442
220	29.51886569
221	29.44596514
222	29.43093165
223	29.34568651
224	29.29191474
225	29.18857557
226	29.13429105
227	29.08277025
228	29.04049775
229	28.94853587
230	28.89420422
231	28.8379083
232	28.77115268
233	28.69161062
234	28.65218814
235	28.58249767
236	28.56979612
237	28.52346519
238	28.46274774
239	28.39840433
240	28.32514665
241	28.30049999
242	28.2299161
243	28.1977565
244	28.10892642
245	28.04890186
246	27.98357768
247	27.92891177
248	27.87642632
249	27.75944228
250	27.70410041
251	27.65178013
252	27.62229621
253	27.58039747
254	27.51065827
255	27.43093431
256	27.34955361
257	27.27382704
258	27.24892632
259	27.21094837
260	27.16855988
261	27.13381837
262	27.06052586
263	27.03105518
264	26.99205944
265	26.97950748
266	26.939511
267	26.87511295
268	26.8268351
269	26.78438452
270	26.74139028
271	26.69242589
272	26.63424845
273	26.60070726
274	26.58098702
275	26.52265093
276	26.43083002
277	26.40072517
278	26.36885731
279	26.27260538
280	26.24929423
281	26.20110829
282	26.1663928
283	26.13673578
284	26.10256352
285	26.05141768
286	26.0416035
287	26.01481692
288	26.00261069
289	25.93514867
290	25.86886601
291	25.83792143
292	25.82035634
293	25.7612594
294	25.71383484
295	25.63528974
296	25.60508603
297	25.56579457
298	25.52754741
299	25.50235162
300	25.47646726
301	25.4625102
302	25.43593225
303	25.35426112
304	25.34390291
305	25.2957919
306	25.2352222
307	25.19497075
308	25.15677152
309	25.10893887
310	25.06485074
311	25.03174143
312	24.98676566
313	24.93737734
314	24.65509492
315	24.63095291
316	24.58883057
317	24.56851959
318	24.52091997
319	24.49782361
320	24.47146989
321	24.27774301
322	24.25926329
323	24.21104308
324	24.13622032
325	24.09973711
326	24.05763967
327	24.0461008
328	24.01239928
329	23.9663133
330	23.93749411
331	23.89367189
332	23.852933
333	23.79805683
334	23.79018732
335	23.77284404
336	23.73813277
337	23.7185519
338	23.63001278
339	23.59207267
340	23.55071203
341	23.52934892
342	23.50066665
343	23.44290097
344	23.41212385
345	23.38433987
346	23.3639112
347	23.31404684
348	23.27695438
349	23.24573218
350	23.21688469
351	23.1688348
352	23.12983452
353	23.05079177
354	23.01839801
355	23.00365741
356	22.96677773
357	22.90230672
358	22.86160537
359	22.82801668
360	22.79312893
361	22.73592006
362	22.70669369
363	22.66280163
364	22.63792725
365	22.61109608
366	22.54578807
367	22.53434331
368	22.49748566
369	22.46060001
370	22.44996184
371	22.41909335
372	22.36490943
373	22.30167015
374	22.24799487
375	22.2204903
376	22.07651924
377	22.03075213
378	22.00096224
379	21.94224111
380	21.9050123
381	21.87896439
382	21.86157289
383	21.83267359
384	21.79641648
385	21.68329425
386	21.66080076
387	21.63086828
388	21.3732223
389	21.34664969
390	21.31615804
391	21.2848514
392	21.2614715
393	21.24099909
394	21.22673551
395	21.19497697
396	21.18704729
397	21.15761923
398	21.13057008
399	21.02808359
400	21.00907366
401	20.98215759
402	20.95652507
403	20.9359597
404	20.88468655
405	20.83306031
406	20.81569591
407	20.74513517
408	20.70686681
409	20.67769272
410	20.63929906
411	20.63027009
412	20.40971606
413	20.37260728
414	20.36046296
415	20.34551565
416	20.31843943
417	20.30306155
418	20.29288714
419	20.2775492
420	20.24243436
421	20.1753406
422	20.13948192
423	20.12758301
424	20.07186384
425	20.05584167
426	20.01909446
427	19.98676667
428	19.93736265
429	19.91700013
430	19.88351835
431	19.75984995
432	19.73150098
433	19.71104287
434	19.68839044
435	19.65260151
436	19.64687422
437	19.61048836
438	19.58104043
439	19.56776454
440	19.54769926
441	19.53730981
442	19.5294345
443	19.51736324
444	19.4845553
445	19.44407214
446	19.42557024
447	19.40497164
448	19.39718509
449	19.35975317
450	19.33782014
451	19.3198847
452	19.28661878
453	19.28176825
454	19.27523565
455	19.24725572
456	19.22836677
457	19.21765518
458	19.1890045
459	19.17872864
460	19.15065376
461	18.95324303
462	18.91757224
463	18.89726259
464	18.87235843
465	18.86223538
466	18.78708842
467	18.76838462
468	18.75512937
469	18.74687268
470	18.72974933
471	18.69641507
472	18.66406728
473	18.65301647
474	18.6429014
475	18.61509686
476	18.5933976
477	18.56637242
478	18.54044693
479	18.51077368
480	18.46838243
481	18.44264605
482	18.41891701
483	18.40599652
484	18.34198424
485	18.31516494
486	18.2911146
487	18.28454272
488	18.26816096
489	18.24434111
490	18.23901452
491	18.22091402
492	18.19197698
493	18.17534968
494	18.13718373
495	18.12457035
496	18.09193034
497	17.89931217
498	17.86964454
499	17.8322539
500	17.80706071
501	17.79665759
502	17.77011629
503	17.74452339
504	17.7198571
505	17.70224418
506	17.68117795
507	17.65541864
508	17.6416839
509	17.63293111
510	17.61163472
511	17.59790404
512	17.57441877
513	17.54325222
514	17.53324358
515	17.51218243
516	17.49628121
517	17.48663559
518	17.46318871
519	17.44222993
520	17.43365646
521	17.41735523
522	17.40146485
523	17.38162404
524	17.35087079
525	17.32933029
526	17.31453691
527	17.25138302
528	17.23499902
529	17.22240127
530	17.20546496
531	17.19221886
532	17.18241208
533	17.17076446
534	17.15740559
535	17.14216785
536	17.08655589
537	17.08225215
538	17.07248534
539	17.0608491
540	17.05399169
541	17.03479577
542	17.01432288
543	16.98925604
544	16.97909055
545	16.96299311
546	16.95002757
547	16.92816013
548	16.91486852
549	16.89871634
550	16.88963561
551	16.88244154
552	16.86845663
553	16.85663976
554	16.84094318
555	16.80991014
556	16.79145569
557	16.76407821
558	16.75321084
559	16.74705332
560	16.73380288
561	16.70759364
562	16.6942738
