iter	Passed	Remaining
0	4	4355
1	8	4287
2	11	4186
3	15	4144
4	20	4229
5	23	4158
6	27	4068
7	30	4014
8	34	3980
9	37	3942
10	41	3905
11	44	3876
12	48	3860
13	51	3839
14	55	3810
15	58	3782
16	61	3763
17	65	3745
18	68	3746
19	72	3741
20	76	3732
21	79	3722
22	83	3718
23	86	3713
24	90	3708
25	94	3728
26	97	3718
27	101	3717
28	105	3715
29	108	3707
30	112	3698
31	115	3692
32	119	3687
33	122	3681
34	126	3686
35	130	3679
36	133	3672
37	137	3663
38	140	3654
39	144	3648
40	147	3645
41	151	3643
42	154	3636
43	158	3633
44	161	3625
45	165	3618
46	169	3614
47	172	3608
48	175	3601
49	179	3595
50	182	3590
51	186	3586
52	190	3582
53	193	3576
54	196	3568
55	200	3568
56	204	3566
57	208	3566
58	212	3573
59	216	3576
60	220	3576
61	224	3582
62	228	3587
63	232	3590
64	236	3587
65	240	3587
66	245	3603
67	248	3601
68	252	3597
69	256	3594
70	260	3597
71	264	3596
72	268	3595
73	272	3597
74	276	3602
75	279	3593
76	283	3588
77	287	3584
78	290	3582
79	294	3578
80	298	3576
81	302	3574
82	306	3574
83	309	3570
84	313	3567
85	317	3562
86	320	3556
87	323	3548
88	327	3545
89	331	3540
90	334	3536
91	338	3530
92	342	3527
93	345	3525
94	349	3519
95	352	3513
96	356	3508
97	360	3505
98	363	3501
99	367	3497
100	371	3495
101	375	3493
102	378	3489
103	382	3485
104	385	3481
105	389	3475
106	392	3470
107	397	3471
108	401	3469
109	405	3468
110	408	3466
111	412	3464
112	416	3459
113	420	3459
114	424	3458
115	428	3454
116	431	3450
117	436	3455
118	440	3451
119	443	3444
120	447	3441
121	450	3437
122	454	3434
123	458	3431
124	462	3428
125	465	3423
126	469	3419
127	473	3414
128	476	3411
129	480	3409
130	484	3406
131	488	3402
132	491	3397
133	495	3392
134	498	3389
135	502	3386
136	506	3382
137	510	3378
138	513	3373
139	517	3370
140	521	3366
141	524	3364
142	528	3358
143	532	3354
144	535	3350
145	539	3344
146	542	3340
147	546	3336
148	549	3330
149	553	3327
150	556	3321
151	560	3318
152	564	3314
153	567	3308
154	571	3305
155	574	3302
156	578	3297
157	581	3292
158	585	3288
159	588	3283
160	592	3280
161	596	3278
162	600	3277
163	604	3274
164	608	3273
165	612	3271
166	616	3267
167	620	3265
168	624	3264
169	628	3261
170	633	3263
171	637	3260
172	641	3257
173	645	3255
174	648	3251
175	652	3247
176	656	3244
177	659	3239
178	663	3236
179	667	3232
180	670	3227
181	674	3223
182	677	3218
183	681	3214
184	684	3208
185	688	3204
186	691	3200
187	695	3196
188	699	3192
189	703	3189
190	707	3187
191	711	3185
192	714	3182
193	718	3179
194	722	3175
195	726	3171
196	730	3169
197	734	3166
198	737	3162
199	741	3160
200	745	3155
201	748	3151
202	752	3147
203	756	3143
204	759	3139
205	763	3135
206	767	3131
207	770	3126
208	774	3123
209	778	3119
210	781	3116
211	785	3112
212	789	3111
213	794	3111
214	798	3108
215	802	3104
216	806	3101
217	810	3099
218	814	3096
219	817	3092
220	821	3090
221	826	3089
222	829	3084
223	833	3081
224	837	3077
225	841	3076
226	845	3072
227	848	3068
228	852	3065
229	856	3061
230	860	3057
231	863	3052
232	867	3049
233	871	3045
234	874	3041
235	878	3037
236	882	3033
237	885	3028
238	888	3024
239	892	3020
240	896	3017
241	899	3012
242	903	3008
243	907	3003
244	910	2999
245	914	2996
246	917	2991
247	921	2987
248	925	2983
249	928	2979
250	932	2975
251	936	2972
252	939	2967
253	943	2964
254	947	2960
255	951	2957
256	954	2953
257	958	2950
258	962	2946
259	965	2941
260	969	2937
261	972	2933
262	976	2929
263	979	2924
264	983	2920
265	987	2917
266	991	2914
267	994	2910
268	998	2907
269	1002	2904
270	1006	2900
271	1010	2897
272	1014	2894
273	1018	2890
274	1021	2887
275	1025	2883
276	1030	2882
277	1033	2878
278	1037	2874
279	1041	2870
280	1044	2865
281	1048	2861
282	1053	2861
283	1056	2857
284	1060	2853
285	1064	2850
286	1067	2845
287	1071	2841
288	1074	2836
289	1078	2832
290	1081	2828
291	1085	2824
292	1088	2820
293	1092	2816
294	1096	2813
295	1100	2810
296	1103	2806
297	1107	2802
298	1111	2798
299	1114	2793
300	1117	2788
301	1121	2784
302	1124	2780
303	1128	2775
304	1131	2770
305	1134	2766
306	1138	2763
307	1142	2758
308	1145	2755
309	1149	2751
310	1153	2748
311	1156	2744
312	1160	2740
313	1164	2736
314	1168	2733
315	1171	2729
316	1175	2725
317	1179	2721
318	1182	2717
319	1186	2714
320	1190	2711
321	1194	2708
322	1198	2704
323	1202	2702
324	1206	2698
325	1210	2695
326	1214	2692
327	1218	2688
328	1221	2685
329	1227	2685
330	1232	2684
331	1236	2681
332	1240	2677
333	1245	2676
334	1249	2673
335	1252	2669
336	1256	2666
337	1260	2661
338	1263	2657
339	1267	2653
340	1270	2649
341	1274	2645
342	1278	2641
343	1281	2637
344	1285	2634
345	1288	2629
346	1292	2625
347	1296	2622
348	1299	2618
349	1303	2614
350	1307	2611
351	1311	2607
352	1315	2604
353	1318	2600
354	1322	2596
355	1325	2592
356	1329	2588
357	1332	2583
358	1336	2579
359	1340	2576
360	1343	2572
361	1347	2569
362	1351	2565
363	1355	2561
364	1358	2557
365	1362	2553
366	1365	2549
367	1369	2545
368	1373	2542
369	1377	2538
370	1381	2535
371	1384	2531
372	1388	2528
373	1392	2524
374	1396	2521
375	1400	2518
376	1404	2514
377	1408	2511
378	1412	2508
379	1416	2505
380	1420	2501
381	1424	2498
382	1427	2493
383	1431	2489
384	1434	2486
385	1439	2483
386	1443	2479
387	1446	2476
388	1450	2472
389	1454	2469
390	1458	2465
391	1461	2461
392	1465	2457
393	1468	2453
394	1472	2449
395	1476	2445
396	1479	2441
397	1483	2436
398	1486	2432
399	1490	2428
400	1493	2425
401	1497	2421
402	1501	2417
403	1504	2413
404	1508	2409
405	1511	2405
406	1515	2401
407	1518	2397
408	1522	2393
409	1525	2389
410	1529	2384
411	1532	2380
412	1536	2376
413	1540	2373
414	1543	2369
415	1546	2364
416	1550	2361
417	1554	2357
418	1557	2352
419	1560	2348
420	1564	2344
421	1568	2340
422	1571	2337
423	1575	2334
424	1579	2330
425	1583	2326
426	1587	2323
427	1591	2319
428	1594	2316
429	1598	2312
430	1602	2309
431	1606	2305
432	1609	2301
433	1613	2297
434	1617	2294
435	1621	2291
436	1624	2286
437	1628	2282
438	1633	2281
439	1637	2277
440	1641	2274
441	1645	2270
442	1648	2266
443	1652	2262
444	1655	2258
445	1659	2254
446	1662	2250
447	1666	2246
448	1669	2242
449	1673	2238
450	1677	2235
451	1680	2231
452	1684	2227
453	1687	2223
454	1691	2218
455	1694	2215
456	1698	2211
457	1702	2207
458	1705	2203
459	1709	2199
460	1713	2196
461	1716	2192
462	1720	2188
463	1724	2184
464	1727	2181
465	1731	2176
466	1734	2172
467	1737	2168
468	1741	2164
469	1745	2160
470	1748	2157
471	1752	2153
472	1755	2149
473	1759	2145
474	1762	2140
475	1766	2137
476	1770	2133
477	1774	2130
478	1778	2127
479	1782	2123
480	1786	2120
481	1789	2116
482	1793	2113
483	1797	2109
484	1801	2105
485	1805	2102
486	1809	2098
487	1813	2095
488	1817	2092
489	1821	2088
490	1825	2085
491	1830	2083
492	1834	2079
493	1837	2075
494	1841	2072
495	1845	2068
496	1848	2064
497	1852	2061
498	1856	2057
499	1860	2053
500	1864	2050
501	1867	2046
502	1871	2042
503	1874	2038
504	1878	2034
505	1882	2031
506	1886	2027
507	1889	2023
508	1893	2019
509	1896	2015
510	1900	2012
511	1903	2008
512	1907	2004
513	1911	2000
514	1914	1996
515	1917	1992
516	1921	1988
517	1924	1984
518	1928	1980
519	1932	1977
520	1935	1973
521	1939	1969
522	1942	1965
523	1946	1961
524	1950	1957
525	1953	1953
526	1957	1949
527	1960	1945
528	1964	1941
529	1968	1938
530	1972	1935
531	1976	1931
532	1980	1928
533	1984	1924
534	1987	1920
535	1991	1917
536	1995	1913
537	1999	1910
538	2003	1906
539	2007	1903
540	2010	1899
541	2014	1895
542	2018	1892
543	2023	1889
544	2027	1886
545	2031	1882
546	2035	1878
547	2038	1875
548	2042	1871
549	2046	1868
550	2050	1864
551	2053	1860
552	2057	1856
553	2060	1852
554	2064	1848
555	2067	1844
556	2071	1840
557	2074	1836
558	2078	1833
559	2081	1829
560	2085	1825
561	2089	1821
562	2093	1818
563	2096	1814
564	2100	1810
565	2104	1806
566	2107	1803
567	2111	1799
568	2114	1795
569	2118	1791
570	2122	1787
571	2126	1784
572	2129	1780
573	2133	1776
574	2136	1772
575	2140	1768
576	2143	1764
577	2147	1761
